placeId,title,placeURL,location/lat,location/lng,label,
ChIJa2kEQFmV1i0R1HzgYffJ8lQ,V Coffee & Tea Cafe,https://maps.app.goo.gl/7cPd6qs8EgQJxa3E9,-8.1758921,113.6851173,estetis ,
,,,,,dalam ruangan,
,,,,,nyaman,
ChIJk8vf9H-V1i0Rd87F-_xBgcQ,Chord Cafe,https://maps.app.goo.gl/uZrx96jYpY7LpPMR7,-7.9822848,113.8591503,live music,
,,,,,ramai,
,,,,,live music,
ChIJF3qm04GV1i0RXe7tj6w7k4Q,50:50 Cafe Jember,https://maps.app.goo.gl/trN5MB4BWfEKpd7p8,-8.1767101,113.7279793,24 jam,
,,,,,live music,
,,,,,luar ruangan,
,,,,,pesan antar,
,,,,,ramai,
ChIJRco-ZwCV1i0Rf6pQkN6ESgU,Sumber Redjo - Coffee & Eatery,https://maps.app.goo.gl/VtrMYaWgHEmBuL4i6,-8.1630859,113.7135065,bungkus ,
,,,,,estetis,
,,,,,nyaman,
,,,,,parkir luas,
,,,,,santai,
ChIJf-xETQCV1i0RP9rmxDMZu8Q,Kattapa Coffee,https://maps.app.goo.gl/77KsUgpxiaHwS3t99,-8.1633864,113.7261281,bungkus,
,,,,,estetis ,
,,,,,luas,
,,,,,nyaman,
,,,,,pesan antar,
,,,,,santai,
ChIJK2B-YXqV1i0RsQ-3Ue_IFYg,Riverside bistro & cafe Jember,https://maps.app.goo.gl/cp3z59CCK8HNkBDt5,-8.1546281,113.7217718,alam,
,,,,,karaoke ,
,,,,,pemandangan ,
ChIJi6T5ho2V1i0RSIsLScknY7Y,Club Roppang,https://maps.app.goo.gl/Y6ixhTSshHLc5QHTA,-8.1460374,113.7177399,alam,
,,,,,bungkus,
,,,,,lesehan,
,,,,,luas,
,,,,,pesan antar,
,,,,,rumahan,
,,,,,rustic ,
ChIJrTVXw9mV1i0RJuiAFAtuiK8,The Anglo-Saxon Tavern,https://maps.app.goo.gl/DtUJx18urF9eGq8J8,-8.1769232,113.7282237,bungkus ,
,,,,,hangat,
,,,,,harga terjangkau ,
,,,,,santai,
ChIJbRFj_VGR1i0RWACLnJ30gPg,Vanilla Bean Cafe Jember,https://maps.app.goo.gl/nNg4Q6emTwnkTARZA,-8.1950447,113.6615266,bungkus,
,,,,,estetis ,
,,,,,luas,
,,,,,parkir luas,
,,,,,santai,
,,,,,taman bermain ,
ChIJdXPShpmV1i0RgMGb7TKx1e0,"Nugas Jember (Coffee, Food, and Space)",https://maps.app.goo.gl/vfGgP8FnTQLnjX8g9,-8.159489,113.7263402,24 jam,20
,,,,,harga terjangkau ,
,,,,,lesehan,
,,,,,ramai,
,,,,,santai,
ChIJM87KSUuU1i0RA6afK0Twcbw,Cafe Tipis Tipis,https://maps.app.goo.gl/kmJbomA44Ui3g7R86,-8.1572184,113.7154129,bungkus ,
,,,,,lesehan,
,,,,,live music ,
,,,,,santai,
ChIJA9O1C8-V1i0RYHiRHstuor8,MOX Cafe,https://maps.app.goo.gl/5xSy8VxBK4qAEGR9A,-8.1686875,113.7260625,harga terjangkau ,
,,,,,lesehan ,
,,,,,live music ,
,,,,,luar ruangan ,
,,,,,santai,
ChIJT5EMnCaU1i0RZ89bctTPYvE,Dewald Cafe,https://maps.app.goo.gl/SmtiTypSan6QbMeW9,-8.1779162,113.6999347,harga terjangkau ,
,,,,,luas,
,,,,,rumahan,
,,,,,rustic ,
,,,,,santai,
ChIJ92Min0uU1i0R8T2vkZKYskI,Kafe Kolong,https://maps.app.goo.gl/Vnxq4seMfvSnyHNj6,-8.1575923,113.7122372,live music ,
,,,,,ramai ,
,,,,,santai ,
ChIJ824Ay1WV1i0RshHGu0ll2pQ,Perasa Coffee & Eatery,https://maps.app.goo.gl/BLA9LjjbQcE2njFj9,-8.1697714,113.710788,24 jam,25
,,,,,bungkus ,
,,,,,estetis ,
,,,,,luas,
,,,,,tenang,
ChIJ23ryPmSV1i0R5EtnzJP1pqM,NUansa Kopi,https://maps.app.goo.gl/ZFQTBYkpQDnHoXwLA,-8.1765525,113.7277785,bungkus,
,,,,,lesehan,
,,,,,luas,
,,,,,parkir luas,
,,,,,pesan antar,
ChIJMSdsGLSR1i0RKdNvPfCS-kU,Crumble Cafe & Pattiserie,https://maps.app.goo.gl/AtGY3B21yAe6cxGn6,-8.1870991,113.6667086,bersih,
,,,,,pastry,
,,,,,sajian estetis ,
,,,,,tenang ,
ChIJadmY36uX1i0RRN89G60uh-E,Kopixel - Kpri,https://maps.app.goo.gl/oR48Pyay7Z6zcTU66,-8.1719605,113.708808,bungkus ,
,,,,,estetis ,
,,,,,pesan antar,
,,,,,ramai ,
ChIJVclMYbmV1i0Ra_kgYD4GKgg,Discuss Space & Coffee,https://maps.app.goo.gl/GnNTRntFpa8gm63T7,-8.1693093,113.713302,bungkus,
,,,,,luas,
,,,,,lesehan,
,,,,,photo box,
,,,,,tenang,
ChIJsXFWcc6V1i0RfBpBp7eoOzg,My Way Café,https://maps.app.goo.gl/oHrXGjk9PGASGNqo6,-8.1652658,113.7248709,24 jam,30
,,,,,harga terjangkau ,
,,,,,parkir luas,
,,,,,santai,
ChIJAfiUdTGV1i0Rh2WKnWfmh3o,888 Coffee & More,https://maps.app.goo.gl/v4Qk9iF1DyvQigEe7,-8.1749934,113.71849,bungkus,
,,,,,estetis ,
,,,,,nyaman,
,,,,,tenang ,
ChIJRejSVAaU1i0Rda2QOMotAXc,Excelso Coffee Jember,https://maps.app.goo.gl/saoKF8dwFQeR7bT79,-8.176499,113.6710565,bungkus,
,,,,,pesan antar,
,,,,,sajian estetis ,
ChIJB9s6vTqU1i0Ry5scgZy55DU,GloVic,https://maps.app.goo.gl/G7B6pWYouKKAC3sk6,-8.1710297,113.7031431,bungkus,
,,,,,estetis ,
,,,,,nyaman,
,,,,,pesan antar,
ChIJKa4pBYuV1i0RKXzEWa5xlHE,Eterno Coffee & Eatery,https://maps.app.goo.gl/iS5ypZr8PMvG8DoP6,-8.1711418,113.7292118,bungkus ,
,,,,,estetis ,
,,,,,luas,
,,,,,pesan antar ,
ChIJkXYm0xqV1i0RJXbamxaII2g,Lofi Coffee & Space,https://maps.app.goo.gl/ishdufVDzsWA5yUq6,-8.1558168,113.6967319,estetis ,
,,,,,pesan antar,
,,,,,santai,
ChIJb67z4KCV1i0RB8lQvtVeIg0,at MAISON,https://maps.app.goo.gl/vUdvpAAQRGPkdwVV7,-8.1713517,113.6979902,estetis,
,,,,,harga terjangkau,
,,,,,luas,
ChIJU-BHet2V1i0RMmT0hfDRCoE,HIRO COFFEE AND SPACE JEMBER,https://maps.app.goo.gl/rmzQjiMqJDpLoajQ9,-8.1771056,113.7167042,bungkus,
,,,,,estetis,
,,,,,rumahan,
ChIJ5XP-rS2V1i0RsgRoV4re1pk,Cafe NOL Kilometer Jember,https://maps.app.goo.gl/MpN6vhWxZHCvHtfu6,-8.1667489,113.7084968,bungkus ,
,,,,,lesehan ,
,,,,,pesan antar,
,,,,,ramai ,
,,,,,santai ,
ChIJP9LLVAGV1i0REz1Lzydat4U,De Terrace Cafe & Resto,https://maps.app.goo.gl/mZTqmCjX94LQw28N6,-8.1751717,113.7019039,bungkus,
,,,,,estetis,
,,,,,nyaman,
,,,,,pesan antar,
,,,,,live music,
ChIJz0ITaS2V1i0Rof6jKwnbJTk,Senja Coffee & Kitchen Jember,https://maps.app.goo.gl/5PRzdQvxYqesyvH57,-8.1546673,113.6878782,luas,40
,,,,,pemandangan ,
,,,,,bungkus,
,,,,,santai,
,,,,,sajian estetis,
ChIJ_zRi-LKV1i0RyljXy-Uugcs,Fox Coffee & Roastery,https://maps.app.goo.gl/qWh4u8UdnkffjUpf6,-8.166819,113.7030526,santai,
,,,,,rumahan,
,,,,,pesan antar,
,,,,,bungkus,
ChIJkfKh7BmU1i0R5QNeMvzbJJI,Rollas Cafe,https://maps.app.goo.gl/vz88miWnSgd78wZq6,-8.1743988,113.6870188,luas,
,,,,,nyaman,
,,,,,bungkus,
ChIJT-9KrzOU1i0RAAeRUdXzH24,Grand Cafe Jember,https://maps.app.goo.gl/2UFbXQNVUUFDdBvaA,-8.1685454,113.7124084,bungkus ,
,,,,,estetis ,
,,,,,luas,
,,,,,pesan antar ,
,,,,,tenang ,
ChIJ9Zc2GgCV1i0RKxnAlWZmIts,Sorai cafe,https://maps.app.goo.gl/ck3djuWoLuUgyNhp7,-8.1689332,113.696794,photo box,
,,,,,estetis,
,,,,,bungkus,
,,,,,santai,
ChIJhbvhkw-V1i0R2r9h95LmuZE,CAFE TEPUK TANGAN,https://maps.app.goo.gl/Gnr7B9J4GZcVLca5A,-8.1695231,113.6975561,rumahan,
,,,,,santai,
,,,,,harga terjangkau,
ChIJhXruqKuV1i0R7pG6s_cZ7ik,KAVA Cafe,https://maps.app.goo.gl/vr1eoUWZ3655vvUd6,-8.2018304,113.6132096,luas,
,,,,,nyaman,
,,,,,santai,
,,,,,sajian estetis,
ChIJgZBkoI2V1i0Rk_lNbFTpPK4,Bento Kopi Jember,https://maps.app.goo.gl/ohgdzfJAoK1kpMgr5,-8.1497473,113.731517,bungkus ,
,,,,,lesehan ,
,,,,,parkir luas ,
,,,,,pesan antar,
,,,,,ramai ,
ChIJdcvL7aqV1i0RH4GSxP1CVwA,KOPI KAMPUS JEMBER,https://maps.app.goo.gl/rRxh8oHjtL7VoNyu7,-8.1500924,113.7313305,bungkus ,
,,,,,lesehan ,
,,,,,live music,
,,,,,parkir luas,
,,,,,ramai ,
,,,,,santai ,
ChIJqamaHhWV1i0RiemPxjKGxms,Kopi Cak Wang - Karimata,https://maps.app.goo.gl/Yuft67ueNvy2b4W38,-8.179407,113.7137882,24 jam,
,,,,,harga terjangkau ,
,,,,,ramai,
,,,,,santai,
ChIJN6YcqdqV1i0RPqj-fydecdQ,Warkop Cak Kebo,https://maps.app.goo.gl/uY9QEJbR3t53Wjbq7,-8.1711139,113.7249737,bungkus ,50
,,,,,harga terjangkau ,
,,,,,lesehan ,
,,,,,ramai ,
,,,,,santai ,
ChIJ39uOIMuV1i0RtRzdd_C6sUg,Dewi Sri,https://maps.app.goo.gl/oiDdFbquDtheFSJ66,-8.1710083,113.7247986,24 jam,
,,,,,lesehan ,
,,,,,live music ,
,,,,,parkiran luas,
,,,,,ramai ,
,,,,,santai ,
ChIJ_RfwKlyV1i0R8td52EHvNpo,Vicenzo.coffee,https://maps.app.goo.gl/2L9b5JuYjwNWYadZ6,-8.1734964,113.716927,bungkus,
,,,,,sajian estetis,
,,,,,santai,
ChIJlwxw0PeV1i0RivDFF-UVjGs,Angkringan lingkar,https://maps.app.goo.gl/tWWJ5xJy57vLHr5j7,-8.1684602,113.7222753,bungkus,
,,,,,harga terjangkau ,
,,,,,lesehan,
,,,,,ramai ,
,,,,,santai ,
ChIJITHGR8aV1i0RjIA5gwOCGp8,Cangkruk'an Cak Ndhoet,https://maps.app.goo.gl/GYWJcptUnYsoy89t8,-8.16962,113.7250749,harga terjangkau ,
,,,,,lesehan ,
,,,,,luas,
,,,,,pesan antar ,
,,,,,santai,
ChIJ1ys2kruV1i0REtYy3zdQb1c,Basecamp Kopi,https://maps.app.goo.gl/WGgjJNLAL4TFR5gR6,-8.1621682,113.7212252,24 jam,
,,,,,lesehan,
,,,,,parkir luas ,
,,,,,ramai,
,,,,,santai,
ChIJeQJ1xdqV1i0RlL1kAZLWsNM,Warung Ta Cafe,https://maps.app.goo.gl/ZdecdcugYF8tAmB38,-8.1674879,113.7213078,bungkus ,
,,,,,pesan antar,
,,,,,ramai ,
,,,,,santai,
ChIJTemX5G2V1i0RCrwjZhcRu8k,KOPI BOSS JEMBER,https://maps.app.goo.gl/ienMNooLegaLcEjg8,-8.17372,113.7288039,bungkus,
,,,,,lesehan ,
,,,,,live music ,
,,,,,parkir luas ,
,,,,,ramai ,
,,,,,santai ,
ChIJr5bw7H2V1i0RnvhbLGeHImo,Rumah Kopi D.K.N,https://maps.app.goo.gl/G4UghK6m98aEtQse6,-8.1694368,113.7232044,24 jam,
,,,,,santai,
,,,,,harga terjangkau,
ChIJ_wvParaV1i0RwKSa3Fxejio,Ozie Cafe,https://maps.app.goo.gl/HhLTWs2UAzgxF58S8,-8.1630811,113.7247054,harga terjangkau ,
,,,,,ramai,
,,,,,santai ,
ChIJyYPZ2dGV1i0RaK1nZLQhXYo,Subur Coffee and Eatery,https://maps.app.goo.gl/Ld9Qs5hdJ6bHx5WY9,-8.177132,113.7109148,bungkus ,60
,,,,,tenang ,
,,,,,nyaman ,
ChIJMSEyI8GV1i0RYTxibrvKKA0,Pondok Kopi Djember,https://maps.app.goo.gl/DSd8MLjUHGVYPKHz7,-8.1685327,113.7257619,ramai,
,,,,,santai,
,,,,,harga terjangkau,
ChIJZ82g-s-V1i0RBnHUn05dizs,Dulur Dewe Coffee 2,https://maps.app.goo.gl/9PVxS7e9YXeGXgtZ8,-8.1694813,113.7263332,24 jam,
,,,,,harga terjangkau,
,,,,,luar ruangan ,
,,,,,santai,
ChIJJVX2s1iV1i0RM2-wL-LjLGs,Fore Coffee - Kartini Jember,https://maps.app.goo.gl/NNQtGx5p2bmWNzvP6,-8.1690624,113.7180672,bungkus ,
,,,,,estetis ,
,,,,,luas,
,,,,,pesan antar ,
,,,,,ramai ,
ChIJXRq9nCiU1i0RYq1CetVnM0s,STMJ Gondrong,https://maps.app.goo.gl/G7am5835BLE2BBkt7,-8.1789834,113.7040651,luar ruangan ,
,,,,,lesehan,
,,,,,santai,
,,,,,bungkus,
,,,,,harga terjangkau,
ChIJOTBNkc-V1i0RrYXnSXV5Yzw,Kimiko Home Cafe,https://maps.app.goo.gl/FeMA9jy1USMYQ2oAA,-8.191099,113.7034009,estetis,
,,,,,nyaman,
,,,,,bungkus,
ChIJSSLuJMaV1i0Rfx-kj3CNncE,Sumber Makmur Kopi [SMK],https://maps.app.goo.gl/zSmFcLCDKnpvC9i8A,-8.1783451,113.7159485,santai,
,,,,,nyaman,
,,,,,pastry,
ChIJ6y_r9zSU1i0RkFnMBCOvLn0,armor,https://maps.app.goo.gl/VFUZV1PU92QDFHGFA,-8.1775407,113.7174453,parkir luas,
,,,,,harga terjangkau,
,,,,,santai,
,,,,,bungkus,
ChIJufcOuZqV1i0RKkBwXfFuYJs,Kopixel - Tidar,https://maps.app.goo.gl/sRUXfUbgPiihj3Pj8,-8.171038,113.729511,estetis,
,,,,,bersih,
,,,,,parkir luas,
,,,,,bungkus,
ChIJA8oIMlyV1i0RywTQ1ZAGaOU,Sensasi Cafe,https://maps.app.goo.gl/nJXsFUQfAkAmhtz3A,-8.1711977,113.728285,live music,
,,,,,ramai,
,,,,,bungkus,
,,,,,parkir luas,
,,,,,santai,
ChIJQ7LN60aV1i0RPgh5VVeX45s,VIKING COFFEE,https://maps.app.goo.gl/taTcu1WxjaGv54DH9,-8.177036,113.7290947,live music,70
,,,,,luas,
,,,,,harga terjangkau,
,,,,,santai,
,,,,,lesehan,
ChIJHfkTu-aV1i0RF7usdq9cmac,Kedai Kopi Rindu Malam Cafe & Resto,https://maps.app.goo.gl/EAZBPom2YZCcXzHD6,-8.1767254,113.7266398,luar ruangan ,
,,,,,live music,
,,,,,santai,
,,,,,parkir luas,
,,,,,bungkus,
ChIJ18ERPwCV1i0RGTNI3CpmN4U,"Cuscuss cafe jember [Claude, Carmilla, Chang'e]",https://maps.app.goo.gl/1SuwBnJxBf2Pmccm7,-8.1766348,113.7261014,santai,
,,,,,luas,
,,,,,bungkus,
,,,,,pesan antar,
,,,,,nyaman,
,,,,,estetis,
ChIJ_bRLGYSV1i0R1Wb-xffuZP4,NonG cafe,https://maps.app.goo.gl/FxqSU1ETMyW1P3St5,-8.1764039,113.7241363,santai,
,,,,,luar ruangan ,
,,,,,bungkus,
ChIJQyI99zCV1i0RDYBOJL17ldQ,KATTE Kedai,https://maps.app.goo.gl/ZkgqPJBg9VN9jBV26,-8.1754135,113.7202259,luar ruangan,
,,,,,santai,
,,,,,harga terjangkau ,
ChIJvwrHuDKU1i0RAQ7S4i4-_tw,Pondok Angkringan,https://maps.app.goo.gl/dbfUCVoF5PheqvVi9,-8.1704071,113.7146724,harga terjangkau ,
,,,,,lesehan ,
,,,,,ramai ,
,,,,,santai ,
ChIJTdGsFV2b1i0Rgh5jsUiWckM,Dira Cafe Wuluhan,https://maps.app.goo.gl/QoN2Ry6YPi1XMnEu7,-8.3418184,113.5734556,rumahan,
,,,,,bungkus,
,,,,,pesan antar,
,,,,,santai,
,,,,,harga terjangkau,
ChIJ98pJ7L-E1i0RZrCAkzqxgMo,WM Cafe,https://maps.app.goo.gl/jateddxk1RLKQUrLA,-8.334935,113.5502675,bungkus,
,,,,,pesan antar,
,,,,,santai,
,,,,,luar ruangan,
ChIJq6qqqu6E1i0Ronhv56VK2cY,Kafe Markaz,https://maps.app.goo.gl/Kn3NGyX22qnuMi1i9,-8.3345027,113.549795,bungkus,
,,,,,lesehan,
,,,,,pesan antar,
,,,,,santai,
ChIJY0H4xUuF1i0Rvch8E6rPElo,Dira Cafe Balung,https://maps.app.goo.gl/nD2V6BFkyfMh2T1Q9,-8.2815725,113.5290846,taman bermain,
,,,,,harga terjangkau,
,,,,,bungkus,
,,,,,pesan antar,
,,,,,santai,
ChIJufGBKEWF1i0RXyexk7zu5lU,JTOHCAFFE BALUNG,https://maps.app.goo.gl/U1s6KmiS5T2NyW3dA,-8.2752606,113.5410624,bungkus,80
,,,,,pesan antar,
,,,,,santai,
,,,,,estetis,
ChIJ16ZItvaF1i0R7UzhuyN2Pww,Dira Cafe Camping,https://maps.app.goo.gl/cNXnFMatNcHn45hx6,-8.2821823,113.5277487,luar ruangan,
,,,,,harga terjangkau,
,,,,,luas,
,,,,,bungkus,
,,,,,taman bermain,
ChIJ8V7xUs6F1i0RhBOf5o-qrHY,Sejedewe Cafe & Resto,https://maps.app.goo.gl/Vc1sRimk9vz2WEsw6,-8.2843194,113.5398986,live music,
,,,,,luas,
,,,,,bungkus,
,,,,,lesehan,
,,,,,harga terjangkau,
ChIJ8bZ8fPWR1i0RGjw-pcz5UeM,MOROJOYO CAFE & RESTO,https://maps.app.goo.gl/ehhjXGuwG2rr5mdw7,-8.1941984,113.6546143,24 jam,
,,,,,lesehan,
,,,,,harga terjangkau,
,,,,,bungkus,
,,,,,santai,
ChIJO8H4UZeR1i0RgmwZUTGM0VU,Angkringan Sengon,https://maps.app.goo.gl/F2JDErfFSrxuNPvt6,-8.1921779,113.6572921,live music,
,,,,,luar ruangan,
,,,,,santai,
ChIJ9ye76lmR1i0Rojom27ajUB4,Warung 19,https://maps.app.goo.gl/sNmThicUn4pyAHwG8,-8.1891415,113.6546362,24 jam,
,,,,,bungkus,
,,,,,lesehan,
,,,,,harga terjangkau,
ChIJA5mdxCKU1i0RiqPnDFK-JCA,Evergreen Cafe BDSC [ECB],https://maps.app.goo.gl/11Qokix3K4qTKMs86,-8.1812054,113.6526547,live music,
,,,,,ramai,
,,,,,santai,
ChIJhQozUbub1i0RHICALS0puiY,Cafe Murah Putra,https://maps.app.goo.gl/U1YZU29QfS9LSags5,-8.2674171,113.6477347,luas,
,,,,,santai,
,,,,,nyaman,
,,,,,bungkus,
ChIJu2QdVoGZ1i0RvR5p3DNMZ9M,Cafe Rilex,https://maps.app.goo.gl/6GkZQY72Wx6Ccqwx9,-8.3012021,113.6740213,24 jam,
,,,,,bungkus,
,,,,,pesan antar,
ChIJSe7SnyOU1i0RXWoJ9y6tcNs,XOXO shop cafe gelato,https://maps.app.goo.gl/wpokPZEEQZAUzTJW6,-8.1754381,113.7041311,harga terjangkau,
,,,,,nyaman,
,,,,,estetis,
,,,,,bungkus,
ChIJiz1vYqqV1i0RfKcZdvzRPQQ,NAVAS nature and caffeine,https://maps.app.goo.gl/wRC5MDeCW9q5n8JM9,-8.162336,113.7090608,24 jam,90
,,,,,estetis,
,,,,,santai,
,,,,,luas,
,,,,,pesan antar,
,,,,,harga terjangkau,
,,,,,ramai,
ChIJWVIxaWmV1i0RSGk8peq4fMY,Tjangkir Kuppi,https://maps.app.goo.gl/7rgfspCQ79fuYeyH7,-8.1755001,113.699629,bungkus,
,,,,,sajian estetis,
,,,,,tenang,
,,,,,harga terjangkau,
ChIJD7j8gpaR1i0RwKlRZPDhE3c,Virtue Cafe & Resto,https://maps.app.goo.gl/qvkn3StEui5y9AnK7,-8.1882284,113.6574091,bungkus,
,,,,,live music,
,,,,,nyaman,
,,,,,estetis,
,,,,,parkir luas,
,,,,,lesehan,
ChIJM3gWMtCW1i0RiDBToyYTmAU,Warung Mbah Joko,https://maps.app.goo.gl/EvFgvL47U9SrE5Ho8,-8.2151193,113.678067,bungkus,
,,,,,lesehan,
,,,,,harga terjangkau,
,,,,,parkir luas,
ChIJ6bQsgPWX1i0RWRzIB-NGS14,Waroeng K3,https://maps.app.goo.gl/uw6AVHDnJiywbZ6D6,-8.2020463,113.6690486,bungkus,
,,,,,harga terjangkau,
,,,,,lesehan,
,,,,,santai,
ChIJmY0b2RGX1i0RaTPV08g_JgU,Wanwe Kopi Ngangeni,https://maps.app.goo.gl/XRXU5HxBXw7iDvVG7,-8.2087434,113.6945663,bungkus,
,,,,,pesan antar,
,,,,,harga terjangkau,
ChIJZ9n3gN2W1i0Rhgm5ke7Ybkw,Cafe Karkoen,https://maps.app.goo.gl/8wHgxUsa19juYg4Z9,-8.2161483,113.6916629,bungkus,
,,,,,nyaman,
,,,,,estetis,
,,,,,luas,
ChIJf7aLICyV1i0R4N3Gncx4xJM,Puspa Rasa Kopi,https://maps.app.goo.gl/X7tXmWWowFJ9hJ2j7,-8.1657282,113.7202769,bungkus,
,,,,,estetis,
,,,,,harga terjangkau,
,,,,,rumahan,
,,,,,estetis,
ChIJB3H-HNKV1i0R3EtEHUQB-TY,Socialife 2.0 Home Cafe & Social Space,https://maps.app.goo.gl/PQjGtmT32cx6sCRh6,-8.1631066,113.7280908,harga terjangkau,
,,,,,pesan antar,
,,,,,bungkus,
ChIJyyfarKiV1i0RsQIw4t5ieZE,Kedai Kopi Wijaya Patrang by pak yon coffee supply,https://maps.app.goo.gl/UQz6f44cEXNj6ViHA,-8.1551193,113.7122702,24 jam,
,,,,,pesan antar,
,,,,,bungkus,
,,,,,parkir luas,
,,,,,harga terjangkau,
,,,,,santai,
ChIJaRi9YceV1i0RCW5PrHDnZqU,SEMOE,https://maps.app.goo.gl/vS5LF8EqfdJqaRCx5,-8.1781963,113.7173306,bungkus,100
,,,,,pesan antar,
,,,,,harga terjangkau,
,,,,,ramai,
,,,,,estetis,
,,,,,parkir luas,
ChIJ_7wMbMmV1i0RdKwrtoBFm-I,Macro Coffee,https://maps.app.goo.gl/uHH7B678z1XRy78W6,-8.16434,113.7228726,santai,
,,,,,harga terjangkau,
,,,,,bungkus,
ChIJ0_6wKEKV1i0RoLVTfqqagO4,KA.TE.GE (Kopian Tegal Gede),https://maps.app.goo.gl/QjfvTcKmeUanBnfd7,-8.1551473,113.7274328,luar ruangan,
,,,,,santai,
,,,,,harga terjangkau,
ChIJ0T6oMIeW1i0RrjMezvjjk2Y,"Wedhang Cor ""Mbah As""",https://maps.app.goo.gl/PGjwQEs5Wydg4vAy6,-8.1844406,113.7149036,bungkus,
,,,,,lesehan,
,,,,,harga terjangkau,
ChIJW0cJlPaV1i0RMJ4xPcJWRH4,TIGAKATA,https://maps.app.goo.gl/AewqMxinruLznfqH6,-8.1801575,113.7104886,bungkus,
,,,,,24 jam,
,,,,,luas,
,,,,,tenang,
ChIJ4UR-LGOX1i0RnkDH0Qj_foQ,SOBOKAFE,https://maps.app.goo.gl/c2TtMMj8cTTgJFKR8,-8.1873798,113.6911416,luar ruangan,
,,,,,harga terjangkau,
,,,,,santai,
,,,,,ramai,
